Zipcode,ZipCodeType,City,State
705,STANDARD,AIBONITO,PR
610,STANDARD,ANASCO,PR
611,PO BOX,ANGELES,PR
612,STANDARD,ARECIBO,PR
601,STANDARD,ADJUNTAS,PR
631,PO BOX,CASTANER,PR
602,STANDARD,AGUADA,PR
603,STANDARD,AGUADILLA,PR
604,PO BOX,AGUADILLA,PR
605,PO BOX,AGUADILLA,PR
703,STANDARD,AGUAS BUENAS,PR
704,STANDARD,AGUIRRE,PR
7675,STANDARD,WESTWOOD,NJ
7677,STANDARD,WOODCLIFF LAKE,NJ
7885,STANDARD,WHARTON,NJ
7981,STANDARD,WHIPPANY,NJ
7999,STANDARD,WHIPPANY,NJ
8888,PO BOX,WHITEHOUSE,NJ
8889,STANDARD,WHITEHOUSE STATION,NJ
7095,STANDARD,WOODBRIDGE,NJ
7481,STANDARD,WYCKOFF,NJ
10451,STANDARD,BRONX,NY
10452,STANDARD,BRONX,NY
10453,STANDARD,BRONX,NY
10454,STANDARD,BRONX,NY
10455,STANDARD,BRONX,NY
10456,STANDARD,BRONX,NY
10457,STANDARD,BRONX,NY
10458,STANDARD,BRONX,NY
10459,STANDARD,BRONX,NY
10460,STANDARD,BRONX,NY
10461,STANDARD,BRONX,NY
10462,STANDARD,BRONX,NY
10463,STANDARD,BRONX,NY
10464,STANDARD,BRONX,NY
10465,STANDARD,BRONX,NY
10466,STANDARD,BRONX,NY
10467,STANDARD,BRONX,NY
10468,STANDARD,BRONX,NY
10469,STANDARD,BRONX,NY
10470,STANDARD,BRONX,NY
10471,STANDARD,BRONX,NY
10472,STANDARD,BRONX,NY
10473,STANDARD,BRONX,NY
10474,STANDARD,BRONX,NY
10475,STANDARD,BRONX,NY
10499,UNIQUE,BRONX,NY
10001,STANDARD,NEW YORK,NY
10002,STANDARD,NEW YORK,NY
10003,STANDARD,NEW YORK,NY
10004,STANDARD,NEW YORK,NY
10005,STANDARD,NEW YORK,NY
10006,STANDARD,NEW YORK,NY
10007,STANDARD,NEW YORK,NY
10008,PO BOX,NEW YORK,NY
10009,STANDARD,NEW YORK,NY
10010,STANDARD,NEW YORK,NY
10011,STANDARD,NEW YORK,NY
10012,STANDARD,NEW YORK,NY
10013,STANDARD,NEW YORK,NY
10014,STANDARD,NEW YORK,NY
10016,STANDARD,NEW YORK,NY
10017,STANDARD,NEW YORK,NY
10018,STANDARD,NEW YORK,NY
10019,STANDARD,NEW YORK,NY
10020,STANDARD,NEW YORK,NY
10021,STANDARD,NEW YORK,NY
10022,STANDARD,NEW YORK,NY
10023,STANDARD,NEW YORK,NY
10024,STANDARD,NEW YORK,NY
10025,STANDARD,NEW YORK,NY
10026,STANDARD,NEW YORK,NY
10027,STANDARD,NEW YORK,NY
10028,STANDARD,NEW YORK,NY
10029,STANDARD,NEW YORK,NY
10030,STANDARD,NEW YORK,NY
10031,STANDARD,NEW YORK,NY
10032,STANDARD,NEW YORK,NY
10033,STANDARD,NEW YORK,NY
10034,STANDARD,NEW YORK,NY
613,PO BOX,ARECIBO,PR
614,PO BOX,ARECIBO,PR
714,STANDARD,ARROYO,PR
616,STANDARD,BAJADERO,PR
617,STANDARD,BARCELONETA,PR
794,STANDARD,BARRANQUITAS,PR
622,STANDARD,BOQUERON,PR
623,STANDARD,CABO ROJO,PR
627,STANDARD,CAMUY,PR
729,STANDARD,CANOVANAS,PR
979,STANDARD,CAROLINA,PR
981,PO BOX,CAROLINA,PR
982,STANDARD,CAROLINA,PR
983,STANDARD,CAROLINA,PR
984,PO BOX,CAROLINA,PR
985,STANDARD,CAROLINA,PR
986,PO BOX,CAROLINA,PR
987,STANDARD,CAROLINA,PR
988,PO BOX,CAROLINA,PR
736,STANDARD,CAYEY,PR
739,STANDARD,CIDRA,PR
769,STANDARD,COAMO,PR
782,STANDARD,COMERIO,PR
783,STANDARD,COROZAL,PR
9848,MILITARY,APO,AE
10200,STANDARD,NEW YORK,NY
9323,MILITARY,APO,AE
659,STANDARD,HATILLO,PR
660,STANDARD,HORMIGUEROS,PR
791,STANDARD,HUMACAO,PR
792,PO BOX,HUMACAO,PR
662,STANDARD,ISABELA,PR
664,STANDARD,JAYUYA,PR
795,STANDARD,JUANA DIAZ,PR
777,STANDARD,JUNCOS,PR
728,STANDARD,PONCE,PR
725,STANDARD,CAGUAS,PR
726,PO BOX,CAGUAS,PR
727,STANDARD,CAGUAS,PR
737,PO BOX,CAYEY,PR
735,STANDARD,CEIBA,PR
742,PO BOX,ROOSEVELT ROADS,PR
638,STANDARD,CIALES,PR
780,STANDARD,COTO LAUREL,PR
775,PO BOX,CULEBRA,PR
646,STANDARD,DORADO,PR
647,STANDARD,ENSENADA,PR
738,STANDARD,FAJARDO,PR
650,STANDARD,FLORIDA,PR
652,STANDARD,GARROCHALES,PR
653,STANDARD,GUANICA,PR
784,STANDARD,GUAYAMA,PR
785,PO BOX,GUAYAMA,PR
656,STANDARD,GUAYANILLA,PR
965,STANDARD,GUAYNABO,PR
966,STANDARD,GUAYNABO,PR
968,STANDARD,GUAYNABO,PR
969,STANDARD,GUAYNABO,PR
970,PO BOX,GUAYNABO,PR
971,STANDARD,GUAYNABO,PR
778,STANDARD,GURABO,PR
667,STANDARD,LAJAS,PR
786,PO BOX,LA PLATA,PR
669,STANDARD,LARES,PR
670,STANDARD,LAS MARIAS,PR
771,STANDARD,LAS PIEDRAS,PR
931,PO BOX,SAN JUAN,PR
933,PO BOX,SAN JUAN,PR
934,STANDARD,FORT BUCHANAN,PR
935,UNIQUE,SAN JUAN,PR
936,PO BOX,SAN JUAN,PR
772,STANDARD,LOIZA,PR
773,STANDARD,LUQUILLO,PR
674,STANDARD,MANATI,PR
606,STANDARD,MARICAO,PR
707,STANDARD,MAUNABO,PR
636,PO BOX,ROSARIO,PR
680,STANDARD,MAYAGUEZ,PR
681,PO BOX,MAYAGUEZ,PR
682,STANDARD,MAYAGUEZ,PR
715,STANDARD,MERCEDITA,PR
676,STANDARD,MOCA,PR
687,STANDARD,MOROVIS,PR
718,STANDARD,NAGUABO,PR
719,STANDARD,NARANJITO,PR
720,STANDARD,OROCOVIS,PR
723,STANDARD,PATILLAS,PR
624,STANDARD,PENUELAS,PR
716,STANDARD,PONCE,PR
717,STANDARD,PONCE,PR
730,STANDARD,PONCE,PR
731,STANDARD,PONCE,PR
732,PO BOX,PONCE,PR
733,PO BOX,PONCE,PR
734,PO BOX,PONCE,PR
740,STANDARD,PUERTO REAL,PR
741,STANDARD,PUNTA SANTIAGO,PR
678,STANDARD,QUEBRADILLAS,PR
677,STANDARD,RINCON,PR
744,PO BOX,RIO BLANCO,PR
721,PO BOX,PALMER,PR
745,STANDARD,RIO GRANDE,PR
637,STANDARD,SABANA GRANDE,PR
688,STANDARD,SABANA HOYOS,PR
952,STANDARD,SABANA SECA,PR
751,STANDARD,SALINAS,PR
690,STANDARD,SAN ANTONIO,PR
683,STANDARD,SAN GERMAN,PR
901,STANDARD,SAN JUAN,PR
902,PO BOX,SAN JUAN,PR
906,PO BOX,SAN JUAN,PR
907,STANDARD,SAN JUAN,PR
908,PO BOX,SAN JUAN,PR
909,STANDARD,SAN JUAN,PR
910,PO BOX,SAN JUAN,PR
911,STANDARD,SAN JUAN,PR
912,STANDARD,SAN JUAN,PR
913,STANDARD,SAN JUAN,PR
914,PO BOX,SAN JUAN,PR
915,STANDARD,SAN JUAN,PR
916,PO BOX,SAN JUAN,PR
917,STANDARD,SAN JUAN,PR
918,STANDARD,SAN JUAN,PR
919,PO BOX,SAN JUAN,PR
920,STANDARD,SAN JUAN,PR
921,STANDARD,SAN JUAN,PR
922,PO BOX,SAN JUAN,PR
923,STANDARD,SAN JUAN,PR
924,STANDARD,SAN JUAN,PR
925,STANDARD,SAN JUAN,PR
926,STANDARD,SAN JUAN,PR
927,STANDARD,SAN JUAN,PR
928,PO BOX,SAN JUAN,PR
929,PO BOX,SAN JUAN,PR
930,PO BOX,SAN JUAN,PR
937,PO BOX,SAN JUAN,PR
939,UNIQUE,SAN JUAN,PR
940,PO BOX,SAN JUAN,PR
955,PO BOX,SAN JUAN,PR
956,STANDARD,BAYAMON,PR
957,STANDARD,BAYAMON,PR
958,PO BOX,BAYAMON,PR
959,STANDARD,BAYAMON,PR
801,PO BOX,ST THOMAS,VI
802,STANDARD,ST THOMAS,VI
803,PO BOX,ST THOMAS,VI
804,PO BOX,ST THOMAS,VI
805,PO BOX,ST THOMAS,VI
820,STANDARD,CHRISTIANSTED,VI
821,PO BOX,CHRISTIANSTED,VI
822,PO BOX,CHRISTIANSTED,VI
823,PO BOX,CHRISTIANSTED,VI
824,PO BOX,CHRISTIANSTED,VI
830,STANDARD,ST JOHN,VI
831,PO BOX,ST JOHN,VI
840,STANDARD,FREDERIKSTED,VI
841,PO BOX,FREDERIKSTED,VI
850,STANDARD,KINGSHILL,VI
851,PO BOX,KINGSHILL,VI
2478,STANDARD,BELMONT,MA
2479,PO BOX,WAVERLEY,MA
2445,STANDARD,BROOKLINE,MA
2446,STANDARD,BROOKLINE,MA
2447,PO BOX,BROOKLINE VILLAGE,MA
2420,STANDARD,LEXINGTON,MA
2421,STANDARD,LEXINGTON,MA
2492,STANDARD,NEEDHAM,MA
2494,STANDARD,NEEDHAM HEIGHTS,MA
2456,PO BOX,NEW TOWN,MA
2458,STANDARD,NEWTON,MA
2459,STANDARD,NEWTON CENTER,MA
2460,STANDARD,NEWTONVILLE,MA
2461,STANDARD,NEWTON HIGHLANDS,MA
2462,STANDARD,NEWTON LOWER FALLS,MA
2464,STANDARD,NEWTON UPPER FALLS,MA
2465,STANDARD,WEST NEWTON,MA
2466,STANDARD,AUBURNDALE,MA
960,PO BOX,BAYAMON,PR
961,STANDARD,BAYAMON,PR
962,STANDARD,CATANO,PR
963,PO BOX,CATANO,PR
975,UNIQUE,SAN JUAN,PR
976,STANDARD,TRUJILLO ALTO,PR
977,PO BOX,TRUJILLO ALTO,PR
978,PO BOX,SAINT JUST,PR
754,STANDARD,SAN LORENZO,PR
685,STANDARD,SAN SEBASTIAN,PR
757,STANDARD,SANTA ISABEL,PR
953,STANDARD,TOA ALTA,PR
954,PO BOX,TOA ALTA,PR
949,STANDARD,TOA BAJA,PR
950,PO BOX,TOA BAJA,PR
951,PO BOX,TOA BAJA,PR
641,STANDARD,UTUADO,PR
692,STANDARD,VEGA ALTA,PR
693,STANDARD,VEGA BAJA,PR
694,PO BOX,VEGA BAJA,PR
765,STANDARD,VIEQUES,PR
766,STANDARD,VILLALBA,PR
767,STANDARD,YABUCOA,PR
698,STANDARD,YAUCO,PR
2467,STANDARD,CHESTNUT HILL,MA
2468,STANDARD,WABAN,MA
2495,PO BOX,NONANTUM,MA
2451,STANDARD,WALTHAM,MA
2452,STANDARD,WALTHAM,MA
2453,STANDARD,WALTHAM,MA
2454,PO BOX,WALTHAM,MA
2455,PO BOX,NORTH WALTHAM,MA
2471,PO BOX,WATERTOWN,MA
2472,STANDARD,WATERTOWN,MA
2477,UNIQUE,WATERTOWN,MA
2457,PO BOX,BABSON PARK,MA
2481,STANDARD,WELLESLEY HILLS,MA
2482,STANDARD,WELLESLEY,MA
2493,STANDARD,WESTON,MA
2184,STANDARD,BRAINTREE,MA
2185,PO BOX,BRAINTREE,MA
2186,STANDARD,MILTON,MA
2187,PO BOX,MILTON VILLAGE,MA
2169,STANDARD,QUINCY,MA
2170,STANDARD,QUINCY,MA
2171,STANDARD,QUINCY,MA
2269,PO BOX,QUINCY,MA
2188,STANDARD,WEYMOUTH,MA
2189,STANDARD,EAST WEYMOUTH,MA
2190,STANDARD,SOUTH WEYMOUTH,MA
2191,STANDARD,NORTH WEYMOUTH,MA
1718,STANDARD,VILLAGE OF NAGOG WOODS,MA
1719,STANDARD,BOXBOROUGH,MA
1720,STANDARD,ACTON,MA
2474,STANDARD,ARLINGTON,MA
2475,PO BOX,ARLINGTON HEIGHTS,MA
2476,STANDARD,ARLINGTON,MA
2150,STANDARD,CHELSEA,MA
2149,STANDARD,EVERETT,MA
2152,STANDARD,WINTHROP,MA
2151,STANDARD,REVERE,MA
2148,STANDARD,MALDEN,MA
2176,STANDARD,MELROSE,MA
2153,PO BOX,MEDFORD,MA
2155,STANDARD,MEDFORD,MA
2156,PO BOX,WEST MEDFORD,MA
2143,STANDARD,SOMERVILLE,MA
2144,STANDARD,SOMERVILLE,MA
2145,STANDARD,SOMERVILLE,MA
2180,STANDARD,STONEHAM,MA
1913,STANDARD,AMESBURY,MA
1810,STANDARD,ANDOVER,MA
1812,UNIQUE,ANDOVER,MA
1899,UNIQUE,ANDOVER,MA
5501,UNIQUE,ANDOVER,MA
1586,PO BOX,WEST MILLBURY,MA
2054,STANDARD,MILLIS,MA
1529,STANDARD,MILLVILLE,MA
2350,PO BOX,MONPONSETT,MA
2553,PO BOX,MONUMENT BEACH,MA
2554,STANDARD,NANTUCKET,MA
2564,PO BOX,SIASCONSET,MA
2584,PO BOX,NANTUCKET,MA
1760,STANDARD,NATICK,MA
1531,STANDARD,NEW BRAINTREE,MA
1950,STANDARD,NEWBURYPORT,MA
1951,STANDARD,NEWBURY,MA
1952,STANDARD,SALISBURY,MA
2056,STANDARD,NORFOLK,MA
2351,STANDARD,ABINGTON,MA
1862,STANDARD,NORTH BILLERICA,MA
1532,STANDARD,NORTHBOROUGH,MA
1534,STANDARD,NORTHBRIDGE,MA
1535,STANDARD,NORTH BROOKFIELD,MA
2355,PO BOX,NORTH CARVER,MA
2650,STANDARD,NORTH CHATHAM,MA
1863,STANDARD,NORTH CHELMSFORD,MA
2651,PO BOX,NORTH EASTHAM,MA
2356,STANDARD,NORTH EASTON,MA
2357,UNIQUE,NORTH EASTON,MA
2556,STANDARD,NORTH FALMOUTH,MA
2565,PO BOX,SILVER BEACH,MA
1536,STANDARD,NORTH GRAFTON,MA
2059,PO BOX,NORTH MARSHFIELD,MA
1537,STANDARD,NORTH OXFORD,MA
2358,PO BOX,NORTH PEMBROKE,MA
1864,STANDARD,NORTH READING,MA
1889,UNIQUE,NORTH READING,MA
5544,UNIQUE,ANDOVER,MA
1430,STANDARD,ASHBURNHAM,MA
1431,STANDARD,ASHBY,MA
1721,STANDARD,ASHLAND,MA
1501,STANDARD,AUBURN,MA
2322,STANDARD,AVON,MA
1432,STANDARD,AYER,MA
1434,STANDARD,DEVENS,MA
1436,STANDARD,BALDWINVILLE,MA
2630,STANDARD,BARNSTABLE,MA
1730,STANDARD,BEDFORD,MA
1731,STANDARD,HANSCOM AFB,MA
2019,STANDARD,BELLINGHAM,MA
1503,STANDARD,BERLIN,MA
1915,STANDARD,BEVERLY,MA
1821,STANDARD,BILLERICA,MA
1822,PO BOX,BILLERICA,MA
1504,STANDARD,BLACKSTONE,MA
1740,STANDARD,BOLTON,MA
2108,STANDARD,BOSTON,MA
2109,STANDARD,BOSTON,MA
2110,STANDARD,BOSTON,MA
2111,STANDARD,BOSTON,MA
2112,PO BOX,BOSTON,MA
2113,STANDARD,BOSTON,MA
2114,STANDARD,BOSTON,MA
